date, pm25, pm10, o3, no2, so2, co
2017/2/2, 159, 71, 69, 32, 6, 15
2017/2/3, 167, 64, 83, 24, 4, 10
2017/2/4, 163, 56, 45, 22, 2, 7
2017/2/5, 123, 69, 64, 29, 3, 9
2017/2/6, 129, 77, 70, 24, 8, 11
2017/2/7, 146, 78, 83, 20, 3, 6
2017/2/8, 158, 70, 84, 28, 3, 12
2017/2/9, 171, 67, 94, 33, 10, 13
2017/2/10, 210, 92, 67, 31, 3, 13
2017/2/11, 205, 61, 81, 37, 10, 11
2017/2/12, 166, 66, 61, 38, 10, 17
2017/2/13, 168, 76, 57, 40, 12, 23
2017/2/14, 175, 85, 69, 38, 8, 26
2017/2/15, 189, 77, 74, 34, 6, 21
2017/2/16, 185, 93, 57, 43, 12, 27
2017/2/17, 195, 78, 55, 41, 8, 36
2017/2/18, 168, 72, 61, 42, 9, 20
2017/2/19, 162, 68, 75, 31, 5, 12
2017/2/20, 154, 62, 46, 27, 2, 9
2017/2/21, 142, 73, 48, 34, 4, 8
2017/2/22, 125, 58, 51, 28, 3, 8
2017/2/23, 128, 73, 61, 35, 10, 19
2017/2/24, 158, 76, 63, 41, 3, 28
2017/2/25, 178, 81, 60, 43, 10, 28
2017/2/26, 153, 74, 60, 39, 7, 23
2017/2/27, 141, 68, 77, 35, 5, 16
2017/2/28, 144, 69, 84, 32, 8, 13
2017/3/1, 158, 73, 75, 35, 9, 11
2017/3/2, 153, 73, 73, 26, 7, 11
2017/3/3, 152, 60, 58, 27, 4, 10
2017/3/4, 147, 59, 62, 23, 3, 8
2017/3/5, 144, 67, 88, 27, 8, 9
2017/3/6, 153, 74, 73, 24, 5, 9
2017/3/7, 156, 63, 47, 21, 4, 8
2017/3/8, 149, 64, 34, 19, 2, 7
2017/3/9, 124, 85, 32, 19, 1, 6
2017/3/10, 131, 73, 51, 20, 2, 6
2017/3/11, 136, 83, 74, 44, 6, 15
2017/3/12, 172, 88, 76, 32, 10, 17
2017/3/13, 188, 74, 74, 46, 8, 18
2017/3/14, 156, 74, 74, 27, 6, 13
2017/3/15, 161, 75, 50, 28, 3, 9
2017/3/16, 152, 59, 62, 32, 4, 9
2017/3/17, 136, 74, 40, 28, 4, 8
2017/3/18, 156, 67, 38, 29, 3, 6
2017/3/19, 143, 67, 60, 34, 6, 12
2017/3/20, 149, 68, 74, 29, 9, 10
2017/3/21, 159, 69, 93, 20, 8, 9
2017/3/22, 155, 74, 93, 18, 5, 8
2017/3/23, 158, 70, 90, 20, 10, 9
2017/3/24, 160, 67, 99, 18, 7, 8
2017/3/25, 142, 74, 76, 26, 5, 9
2017/3/26, 146, 88, 77, 37, 7, 14
2017/3/27, 161, 89, 77, 28, 12, 12
2017/3/28, 156, 81, 84, 21, 7, 8
2017/3/29, 151, 82, 67, 15, 6, 9
2017/3/30, 153, 65, 75, 12, 6, 6
2017/3/31, 142, 75, 59, 12, 6, 8
2016/10/4, 99, 23, 16, 9, 1, 5
2016/10/5, 57, 25, 13, 7, 1, 4
2016/10/6, 64, 36, 17, 10, , 5
2016/10/7, 79, 38, 16, 8, 1, 5
2016/10/8, 75, 28, 15, 6, 1, 3
2016/10/9, 46, 33, 21, 7, 1, 4
2016/10/10, 72, 49, 33, 6, 1, 4
2016/10/11, 74, 47, 31, 7, 1, 4
2016/10/12, 78, 48, 25, 7, 1, 3
2016/10/13, 84, 50, 36, 13, 4, 5
2016/10/14, 82, 48, 29, 14, 3, 5
2016/10/15, 82, 45, 37, 19, 5, 7
2016/10/16, 69, 46, 43, 16, 1, 5
2016/10/17, 70, 39, 49, 13, 3, 7
2016/10/18, 90, 52, 47, 14, 1, 4
2016/10/19, 79, 52, 41, 13, 1, 4
2016/10/20, 76, 52, 50, 14, 1, 4
2016/10/21, 128, 49, 42, 13, 4, 5
2016/10/22, 94, 27, 55, 15, 3, 5
2016/10/23, 72, 14, 51, 16, 2, 5
2016/10/24, 73, 26, 47, 13, , 4
2016/10/25, 71, 27, 43, 14, , 4
2016/10/26, 74, 31, 49, 18, 1, 6
2016/10/27, 86, 33, 44, 20, 1, 6
2016/10/28, 88, 33, 52, 21, 4, 8
2016/10/29, 67, 25, 46, 27, 5, 10
2016/10/30, 77, 28, 54, 27, 5, 9
2016/10/31, 90, 30, 46, 25, 4, 9
2016/11/1, 80, 28, 57, 25, 2, 7
2016/11/2, 97, 53, 52, 29, 4, 7
2016/11/3, 91, 69, 58, 26, 5, 7
2016/11/4, 71, 62, 54, 31, 4, 9
2016/11/5, 133, 59, 59, 27, 1, 8
2016/11/6, 149, 62, 57, 31, 1, 10
2016/11/7, 148, 78, 38, 19, 2, 14
2016/11/8, 156, 74, 45, 17, 1, 12
2016/11/9, 155, 74, 37, 16, 3, 14
2016/11/10, 168, 89, 28, 20, 7, 18
2016/11/11, 159, 76, 62, 15, 6, 11
2016/11/15, 116, 95, 56, 15, 9, 16
2016/11/16, 196, 94, 46, 27, 7, 12
2016/11/17, 179, 75, 61, 34, 8, 9
2016/11/18, 172, 72, 55, 34, 7, 11
2016/11/19, 175, 82, 58, 41, 14, 15
2016/11/20, 220, 91, 61, 36, 7, 17
2016/11/21, 180, 87, 49, 38, 10, 16
2016/11/22, 176, 90, 52, 39, 5, 17
2016/11/23, 170, 81, 43, 39, 7, 13
2016/11/24, 186, 90, 29, 40, 9, 15
2016/11/25, 180, 94, 44, 49, 9, 17
2016/11/26, 167, 86, 44, 45, 10, 20
2016/11/27, 159, 80, 42, 49, 10, 18
2016/11/28, 164, 74, 39, 35, 3, 12
2016/11/29, 158, 83, 50, 40, 9, 16
2016/11/30, 158, 75, 59, 38, 8, 13
2016/12/1, 160, 82, 54, 39, 6, 16
2016/12/2, 193, 98, 51, 40, 10, 18
2016/12/3, 172, 78, 54, 37, 10, 12
2016/12/4, 186, 80, 36, 31, 3, 9
2016/12/5, 179, 92, 44, 40, 12, 16
2016/12/6, 169, 74, 35, 36, 12, 11
2016/12/7, 166, 73, 36, 40, 8, 11
2016/12/8, 174, 85, 31, 46, 10, 18
2016/12/9, 174, 89, 24, 43, 8, 19
2016/12/10, 156, 81, 24, 48, 6, 18
2016/12/11, 154, 75, 18, 38, 3, 16
2016/12/12, 163, 83, 16, 42, 12, 18
2016/12/13, 163, 89, 13, 40, 9, 20
2016/12/14, 170, 79, 11, 42, 11, 13
2016/12/15, 161, 65, 12, 29, 10, 8
2016/12/16, 162, 72, 11, 32, 14, 13
2016/12/17, 175, 83, 9, 38, 9, 15
2016/12/18, 120, 49, 4, 29, 1, 7
2016/12/19, 147, 71, 45, 33, 21, 10
2016/12/20, 153, 64, 48, 40, 14, 11
2016/12/21, 180, 79, 60, 38, 14, 15
2016/12/22, 159, 72, 58, 35, 8, 16
2016/12/23, 157, 79, 53, 41, 20, 20
2016/12/24, 144, 64, 69, 37, 4, 13
2016/12/25, 154, 66, 76, 43, 5, 16
2016/12/26, 169, 80, 48, 46, 8, 18
2016/12/27, 174, 79, 58, 43, 5, 15
2016/12/28, 166, 79, 58, 47, 9, 19
2016/12/29, 195, 99, 61, 50, 8, 28
2016/12/30, 190, 99, 63, 43, 6, 28
2016/12/31, 160, 78, 59, 37, 2, 18
2017/1/1, 161, 73, 60, 43, 5, 19
2018/9/19, , 41, 31, 3, 1, 3
2018/4/22, , 60, 53, 7, 1, 2
2018/5/27, , 58, 49, 6, , 2
2017/12/31, , 87, 53, 14, 3, 10
2018/1/28, , 114, 83, 28, 13, 20
2018/2/25, , 84, 84, 15, 10, 5
2017/9/10, , 36, 28, 7, 2, 9
2017/4/24, , 79, 47, 7, 2, 4
2016/10/1, , 30, 15, 8, 1, 5
2016/10/2, , 23, 15, 8, 1, 5
2016/10/3, , 23, 16, 9, , 5
2016/8/28, , 32, 11, 7, 1, 3
2016/8/29, , 38, 10, 8, 1, 4
2016/8/30, , 36, 11, 7, 1, 3
2016/8/31, , 34, 9, 7, 1, 3
2016/9/1, , 29, 8, 7, , 3
2016/9/2, , 28, 11, 7, 1, 2
2016/9/3, , 34, 13, 8, 1, 2
2016/9/4, , 30, 13, 7, 1, 3
2016/9/5, , 26, 13, 7, 1, 2
2016/9/6, , 29, 11, 10, 1, 3
2016/9/7, , 33, 8, 11, 1, 3
2016/9/8, , 27, 8, 9, 1, 3
2016/9/9, , 28, 8, 8, 1, 3
2016/9/10, , 28, 11, 7, 1, 2
2016/9/11, , 24, 15, 8, 1, 3
2016/9/12, , 32, 15, 7, 1, 2
2016/9/13, , 29, 15, 7, 4, 3
2016/9/14, , 38, 18, 9, , 4
2016/9/15, , 33, 18, 9, , 4
2016/9/16, , 30, 14, 13, , 4
2016/9/17, , 30, 15, 12, 1, 4
2016/9/18, , 25, 16, 11, 1, 4
2016/9/19, , 26, 14, 7, 1, 3
2016/9/20, , 23, 15, 8, 1, 4
2016/9/21, , 32, 19, 7, 1, 4
2016/9/22, , 35, 22, 7, , 4
2016/9/23, , 34, 23, 7, , 3
2016/9/24, , 31, 26, 7, 1, 3
2016/9/25, , 31, 20, 6, , 3
2016/9/26, , 34, 25, 6, 1, 4
2016/9/27, , 40, 24, 6, 1, 3
2016/9/28, , 38, 23, 6, 1, 4
2016/9/29, , 41, 23, 5, , 3
2016/9/30, , 45, 17, 6, , 3
2018/8/21, , , 12, 4, 2, 3
2016/11/12, , , 35, 22, 5, 20
2016/11/13, , , 49, 14, 4, 12
2016/11/14, , , 73, 17, 9, 14
2016/8/27, , , 11, 8, 1, 3
